"Year","StateName","LGA_Name","Total_Persons","Percent_Change"
2002,"New South Wales","Other LGA",6444439,0.671582429475331
2002,"New South Wales","Sydney",136368,5.79281774384993
2002,"Northern Territory","Darwin",69286,-0.501184749048611
2002,"Northern Territory","Other LGA",132965,0.648711660156841
2002,"Queensland","Brisbane",908289,2.5403398333911
2002,"Queensland","Other LGA",2744834,2.20249456190271
2002,"South Australia","Adelaide",13857,4.88986450685035
2002,"South Australia","Other LGA",1497710,0.500587149807079
2002,"Victoria","Melbourne",60415,9.0562836203473
2002,"Victoria","Other LGA",4757359,1.04374968273552
2002,"Western Australia","Other LGA",1917267,1.13426565753965
2002,"Western Australia","Perth",11245,6.99333967649857
2003,"New South Wales","Other LGA",6475636,0.484091788284442
2003,"New South Wales","Sydney",145079,6.3878622550745
2003,"Northern Territory","Darwin",68968,-0.458967179516786
2003,"Northern Territory","Other LGA",132757,-0.15643214379724
2003,"Queensland","Brisbane",930535,2.44922045736544
2003,"Queensland","Other LGA",2812586,2.46834599105083
2003,"South Australia","Adelaide",14533,4.87840080825576
2003,"South Australia","Other LGA",1505866,0.544564702111891
2003,"Victoria","Melbourne",65954,9.16825291732186
2003,"Victoria","Other LGA",4807855,1.06142925097728
2003,"Western Australia","Other LGA",1941012,1.23848165122542
2003,"Western Australia","Perth",11729,4.30413517118719
2004,"New South Wales","Other LGA",6497843,0.342931566876211
2004,"New South Wales","Sydney",152892,5.38534177930645
2004,"Northern Territory","Darwin",69339,0.537930634497158
2004,"Northern Territory","Other LGA",133324,0.427096122991631
2004,"Queensland","Brisbane",949935,2.08482217219127
2004,"Queensland","Other LGA",2880035,2.39811333768994
2004,"South Australia","Adelaide",15613,7.43136310465836
2004,"South Australia","Other LGA",1512576,0.445590776337337
2004,"Victoria","Melbourne",71425,8.29517542529642
2004,"Victoria","Other LGA",4855724,0.995641507491386
2004,"Western Australia","Other LGA",1966812,1.32920352888081
2004,"Western Australia","Perth",12730,8.53440190979623
2005,"New South Wales","Other LGA",6534372,0.562171169725092
2005,"New South Wales","Sydney",158834,3.88640347434791
2005,"Northern Territory","Darwin",70538,1.72918559540807
2005,"Northern Territory","Other LGA",135367,1.53235726500855
2005,"Queensland","Brisbane",967989,1.90055109033776
2005,"Queensland","Other LGA",2950505,2.44684526403325
2005,"South Australia","Adelaide",16573,6.14872221866393
2005,"South Australia","Other LGA",1522231,0.63831503342642
2005,"Victoria","Melbourne",76034,6.45292264613231
2005,"Victoria","Other LGA",4913212,1.18392231518925
2005,"Western Australia","Other LGA",1997268,1.54849573828104
2005,"Western Australia","Perth",13939,9.49725058915947
2006,"New South Wales","Other LGA",6578093,0.669092607522192
2006,"New South Wales","Sydney",164597,3.62831635544027
2006,"Northern Territory","Darwin",71366,1.17383537951175
2006,"Northern Territory","Other LGA",137691,1.71681429004115
2006,"Queensland","Brisbane",987831,2.04981668180114
2006,"Queensland","Other LGA",3020161,2.3608161992608
2006,"South Australia","Adelaide",17479,5.46672298316539
2006,"South Australia","Other LGA",1535050,0.842119231575234
2006,"Victoria","Melbourne",80154,5.41862850829892
2006,"Victoria","Other LGA",4981112,1.38198799481887
2006,"Western Australia","Other LGA",2035349,1.90665449003339
2006,"Western Australia","Perth",15232,9.27613171676591
